symbol,sector,security_type,source_membership
AAPL,Technology,common_stock,SP500_AND_NASDAQ100
MSFT,Technology,common_stock,SP500_AND_NASDAQ100
NVDA,Technology,common_stock,SP500_AND_NASDAQ100
AVGO,Technology,common_stock,SP500_AND_NASDAQ100
ORCL,Technology,common_stock,SP500_AND_NASDAQ100
CRM,Technology,common_stock,SP500
ADBE,Technology,common_stock,SP500_AND_NASDAQ100
AMD,Technology,common_stock,SP500_AND_NASDAQ100
CSCO,Technology,common_stock,SP500_AND_NASDAQ100
ACN,Technology,common_stock,SP500
IBM,Technology,common_stock,SP500
TXN,Technology,common_stock,SP500_AND_NASDAQ100
QCOM,Technology,common_stock,SP500_AND_NASDAQ100
INTU,Technology,common_stock,SP500_AND_NASDAQ100
NOW,Technology,common_stock,SP500
AMAT,Technology,common_stock,SP500_AND_NASDAQ100
MU,Technology,common_stock,SP500_AND_NASDAQ100
PANW,Technology,common_stock,SP500_AND_NASDAQ100
SNPS,Technology,common_stock,SP500_AND_NASDAQ100
CDNS,Technology,common_stock,SP500_AND_NASDAQ100
LRCX,Technology,common_stock,SP500_AND_NASDAQ100
KLAC,Technology,common_stock,SP500_AND_NASDAQ100
ANET,Technology,common_stock,SP500
FTNT,Technology,common_stock,SP500_AND_NASDAQ100
ADI,Technology,common_stock,SP500_AND_NASDAQ100
APH,Technology,common_stock,SP500
MSI,Technology,common_stock,SP500
ROP,Technology,common_stock,SP500
CRWD,Technology,common_stock,NASDAQ100
DELL,Technology,common_stock,SP500
GOOGL,Communication Services,common_stock,SP500_AND_NASDAQ100
META,Communication Services,common_stock,SP500_AND_NASDAQ100
NFLX,Communication Services,common_stock,SP500_AND_NASDAQ100
DIS,Communication Services,common_stock,SP500
CMCSA,Communication Services,common_stock,SP500_AND_NASDAQ100
TMUS,Communication Services,common_stock,SP500_AND_NASDAQ100
VZ,Communication Services,common_stock,SP500
T,Communication Services,common_stock,SP500
EA,Communication Services,common_stock,SP500
TTWO,Communication Services,common_stock,SP500
WBD,Communication Services,common_stock,SP500_AND_NASDAQ100
OMC,Communication Services,common_stock,SP500
LYV,Communication Services,common_stock,SP500
PARA,Communication Services,common_stock,SP500
AMZN,Consumer Discretionary,common_stock,SP500_AND_NASDAQ100
TSLA,Consumer Discretionary,common_stock,SP500_AND_NASDAQ100
HD,Consumer Discretionary,common_stock,SP500
MCD,Consumer Discretionary,common_stock,SP500
NKE,Consumer Discretionary,common_stock,SP500
LOW,Consumer Discretionary,common_stock,SP500
SBUX,Consumer Discretionary,common_stock,SP500_AND_NASDAQ100
TJX,Consumer Discretionary,common_stock,SP500
BKNG,Consumer Discretionary,common_stock,SP500_AND_NASDAQ100
CMG,Consumer Discretionary,common_stock,SP500
MAR,Consumer Discretionary,common_stock,SP500_AND_NASDAQ100
GM,Consumer Discretionary,common_stock,SP500
F,Consumer Discretionary,common_stock,SP500
ORLY,Consumer Discretionary,common_stock,SP500_AND_NASDAQ100
AZO,Consumer Discretionary,common_stock,SP500
YUM,Consumer Discretionary,common_stock,SP500
ROST,Consumer Discretionary,common_stock,SP500_AND_NASDAQ100
DHI,Consumer Discretionary,common_stock,SP500
LEN,Consumer Discretionary,common_stock,SP500
HLT,Consumer Discretionary,common_stock,SP500
PG,Consumer Staples,common_stock,SP500
KO,Consumer Staples,common_stock,SP500
PEP,Consumer Staples,common_stock,SP500_AND_NASDAQ100
COST,Consumer Staples,common_stock,SP500_AND_NASDAQ100
WMT,Consumer Staples,common_stock,SP500
PM,Consumer Staples,common_stock,SP500
MDLZ,Consumer Staples,common_stock,SP500_AND_NASDAQ100
CL,Consumer Staples,common_stock,SP500
MO,Consumer Staples,common_stock,SP500
TGT,Consumer Staples,common_stock,SP500
KMB,Consumer Staples,common_stock,SP500
GIS,Consumer Staples,common_stock,SP500
STZ,Consumer Staples,common_stock,SP500
SYY,Consumer Staples,common_stock,SP500
KDP,Consumer Staples,common_stock,SP500_AND_NASDAQ100
JPM,Financials,common_stock,SP500
V,Financials,common_stock,SP500
MA,Financials,common_stock,SP500
BAC,Financials,common_stock,SP500
WFC,Financials,common_stock,SP500
GS,Financials,common_stock,SP500
MS,Financials,common_stock,SP500
SPGI,Financials,common_stock,SP500
AXP,Financials,common_stock,SP500
SCHW,Financials,common_stock,SP500
C,Financials,common_stock,SP500
BLK,Financials,common_stock,SP500
PGR,Financials,common_stock,SP500
CB,Financials,common_stock,SP500
MMC,Financials,common_stock,SP500
ICE,Financials,common_stock,SP500
USB,Financials,common_stock,SP500
PNC,Financials,common_stock,SP500
TFC,Financials,common_stock,SP500
AON,Financials,common_stock,SP500
UNH,Health Care,common_stock,SP500
LLY,Health Care,common_stock,SP500
JNJ,Health Care,common_stock,SP500
ABBV,Health Care,common_stock,SP500
MRK,Health Care,common_stock,SP500
TMO,Health Care,common_stock,SP500
ABT,Health Care,common_stock,SP500
PFE,Health Care,common_stock,SP500
DHR,Health Care,common_stock,SP500
AMGN,Health Care,common_stock,SP500_AND_NASDAQ100
ISRG,Health Care,common_stock,SP500_AND_NASDAQ100
SYK,Health Care,common_stock,SP500
BSX,Health Care,common_stock,SP500
VRTX,Health Care,common_stock,SP500_AND_NASDAQ100
REGN,Health Care,common_stock,SP500_AND_NASDAQ100
GILD,Health Care,common_stock,SP500_AND_NASDAQ100
ELV,Health Care,common_stock,SP500
MDT,Health Care,common_stock,SP500
CI,Health Care,common_stock,SP500
ZTS,Health Care,common_stock,SP500
GE,Industrials,common_stock,SP500
CAT,Industrials,common_stock,SP500
RTX,Industrials,common_stock,SP500
HON,Industrials,common_stock,SP500_AND_NASDAQ100
UNP,Industrials,common_stock,SP500
BA,Industrials,common_stock,SP500
DE,Industrials,common_stock,SP500
LMT,Industrials,common_stock,SP500
ADP,Industrials,common_stock,SP500_AND_NASDAQ100
UPS,Industrials,common_stock,SP500
ETN,Industrials,common_stock,SP500
NOC,Industrials,common_stock,SP500
GD,Industrials,common_stock,SP500
ITW,Industrials,common_stock,SP500
CSX,Industrials,common_stock,SP500
EMR,Industrials,common_stock,SP500
WM,Industrials,common_stock,SP500
NSC,Industrials,common_stock,SP500
PH,Industrials,common_stock,SP500
FDX,Industrials,common_stock,SP500
XOM,Energy,common_stock,SP500
CVX,Energy,common_stock,SP500
COP,Energy,common_stock,SP500
WMB,Energy,common_stock,SP500
EOG,Energy,common_stock,SP500
SLB,Energy,common_stock,SP500
MPC,Energy,common_stock,SP500
PSX,Energy,common_stock,SP500
OXY,Energy,common_stock,SP500
VLO,Energy,common_stock,SP500
LIN,Materials,common_stock,SP500
SHW,Materials,common_stock,SP500
APD,Materials,common_stock,SP500
ECL,Materials,common_stock,SP500
FCX,Materials,common_stock,SP500
NEM,Materials,common_stock,SP500
NUE,Materials,common_stock,SP500
DOW,Materials,common_stock,SP500
PPG,Materials,common_stock,SP500
VMC,Materials,common_stock,SP500
PLD,Real Estate,common_stock,SP500
AMT,Real Estate,common_stock,SP500
EQIX,Real Estate,common_stock,SP500
WELL,Real Estate,common_stock,SP500
SPG,Real Estate,common_stock,SP500
PSA,Real Estate,common_stock,SP500
O,Real Estate,common_stock,SP500
DLR,Real Estate,common_stock,SP500
CCI,Real Estate,common_stock,SP500
VTR,Real Estate,common_stock,SP500
NEE,Utilities,common_stock,SP500
SO,Utilities,common_stock,SP500
DUK,Utilities,common_stock,SP500
AEP,Utilities,common_stock,SP500
SRE,Utilities,common_stock,SP500
D,Utilities,common_stock,SP500
EXC,Utilities,common_stock,SP500
XEL,Utilities,common_stock,SP500
ED,Utilities,common_stock,SP500
WEC,Utilities,common_stock,SP500
AKAM,Technology,common_stock,SP500
CDW,Technology,common_stock,SP500
CTSH,Technology,common_stock,SP500
EPAM,Technology,common_stock,SP500
FFIV,Technology,common_stock,SP500
FICO,Technology,common_stock,SP500
GEN,Technology,common_stock,SP500
GLW,Technology,common_stock,SP500
HPE,Technology,common_stock,SP500
HPQ,Technology,common_stock,SP500
INTC,Technology,common_stock,SP500_AND_NASDAQ100
KEYS,Technology,common_stock,SP500
MCHP,Technology,common_stock,SP500_AND_NASDAQ100
MPWR,Technology,common_stock,SP500_AND_NASDAQ100
NTAP,Technology,common_stock,SP500
NXPI,Technology,common_stock,SP500_AND_NASDAQ100
ON,Technology,common_stock,SP500_AND_NASDAQ100
PTC,Technology,common_stock,SP500
STX,Technology,common_stock,SP500
SWKS,Technology,common_stock,SP500
TEL,Technology,common_stock,SP500
TER,Technology,common_stock,SP500
TRMB,Technology,common_stock,SP500
TYL,Technology,common_stock,SP500
WDC,Technology,common_stock,SP500
ZBRA,Technology,common_stock,SP500
CHTR,Communication Services,common_stock,SP500_AND_NASDAQ100
FOXA,Communication Services,common_stock,SP500
FOX,Communication Services,common_stock,SP500
IPG,Communication Services,common_stock,SP500
MTCH,Communication Services,common_stock,SP500
NWSA,Communication Services,common_stock,SP500
NWS,Communication Services,common_stock,SP500
TKO,Communication Services,common_stock,SP500
ABNB,Consumer Discretionary,common_stock,SP500_AND_NASDAQ100
APTV,Consumer Discretionary,common_stock,SP500
BBY,Consumer Discretionary,common_stock,SP500
BWA,Consumer Discretionary,common_stock,SP500
CCL,Consumer Discretionary,common_stock,SP500
CZR,Consumer Discretionary,common_stock,SP500
DECK,Consumer Discretionary,common_stock,SP500
DPZ,Consumer Discretionary,common_stock,SP500
